Address to use,City,State,Zip,Plus_Four,State,District,Rep_or_Sen,Name,Bio_ID
100 South Austin Street,Seguin,TX,78155,5702,TX,15,Rep,Ruben Hinojosa,H000636
2700 M Street,Bakersfield,CA,93301,2374,CA,21,Rep,David Valadao,V000129
115 South Main Street,Cleburne,TX,76033,5501,TX,25,Rep,Roger Williams,W000816
29 South Palouse Street,Walla Walla,WA,99362,1925,WA,5,Rep,Cathy McMorris Rodgers,M001159
2101 Clinton Avenue West,Huntsville,AL,35805,3109,AL,5,Rep,Mo Brooks,B001274
3000 Corporate Exchange Drive,Columbus,OH,43231,4054,OH,3,Rep,Joyce Beatty,B001281
50 Washington Road,Woodbury,CT,6051,1012,CT,5,Rep,Elizabeth Esty,E000293
35 Court Square,West Plains,MO,65775,3453,MO,8,Rep,Jason Smith,S001195
219 Roswell Street,Marietta,GA,30060,2063,GA,11,Rep,Barry Loudermilk,L000583
9210 113th Street,Seminole,FL,33772,2800,FL,13,Rep,David Jolly,J000296
1981 North Broadway,Walnut Creek,CA,94596,3877,CA,11,Rep,Mark DeSaulnier,D000623
2106 West Ennis Avenue,Ennis,TX,75119,3624,TX,6,Rep,Joe Barton,B000213
1819 Pepperell Parkway,Opelika,IN,36801,5476,IN,,Sen,Daniel Coats,C000542
337 East Main Street,Tupelo,MS,38804,4025,MS,1,Rep,Alan Nunnelee,N000186
171 Southwest Flagler Avenue,Stuart,FL,34994,2139,FL,18,Rep,Patrick Murphy,M001191
14546 Hamlin Street,Los Angeles,CA,91411,4102,CA,29,Rep,Tony Cardenas,C001097
4715 Golden Gate Parkway,Naples,FL,34116,6901,FL,25,Rep,Mario Diaz-Balart,D000600
650 Dundee Road,Northbrook,IL,60062,2757,IL,10,Rep,Robert Dold,D000613
3102 Maple Avenue,Dallas,TX,75201,1236,TX,30,Rep,Eddie Johnson,J000126
226 Taylor Street,Punta Gorda,FL,33950,4459,FL,17,Rep,Thomas Rooney,R000583
101 North Centre Street,Pottsville,PA,17901,2972,PA,17,Rep,Matthew Cartwright,C001090
1805 East Ruben M Torres Sr Boulevard,Brownsville,TX,78521,1115,TX,,Sen,John Cornyn,C001056
300 Centerville Road,Newville,PA,2886,212,PA,11,Rep,Lou Barletta,B001269
3300 S. Parker Road,Aurora,CO,80014,3518,CO,6,Rep,Mike Coffman,C001077
400 North 8th Street,Richmond,VA,23219,1321,VA,3,Rep,Robert Scott,S000185
1200 East 78th Avenue,Denver,CO,80229,5930,CO,7,Rep,Ed Perlmutter,P000593
4772 Euclid Road,Virginia Beach,VA,23462,3800,VA,2,Rep,E. Rigell,R000589
100 Peachtree Street Northwest,Atlanta,GA,30303,1906,GA,,Sen,John Isakson,I000055
5914 Main Street,Mays Landing,NJ,8330,1746,NJ,2,Rep,Frank LoBiondo,L000554
2 East 2nd Street,Jamestown,NY,14701,5206,NY,23,Rep,Tom Reed,R000585
90 State House Square,Hartford,CT,6103,3708,CT,,Sen,Christopher Murphy,M001169
